endereco,preco,area,quartos,banheiros,garagens,latitude,longitude
"Plano Diretor Sul, Palmas",3000000,378,5,6,4,-10.2196474,-48.33896439999999
"ARSO 31 Alameda 21, Plano Diretor Sul",2500000,432,5,6,5,-10.2123133,-48.3452623
"Plano Diretor Sul, Palmas",990000,192,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1750000,380,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,118,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1500000,247,4,1,2,-10.2196474,-48.33896439999999
"ARSO 34 Rua 17, Plano Diretor Sul",1900000,197,3,4,19,-10.215773,-48.3340767
"Quadra ARSO 52 Alameda 44, Plano Diretor Sul",990000,170,3,3,4,-10.2168131,-48.3446652
"Plano Diretor Sul, Palmas",1100000,192,3,1,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",2100000,420,4,1,2,-10.2196474,-48.33896439999999
"ARSO 23 Alameda 12, Plano Diretor Sul",2500000,492,4,6,10,-10.1957463,-48.3534094
"ARSO 53 Alameda 2, Plano Diretor Sul",1400000,218,3,3,0,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",1600000,420,4,1,3,-10.2196474,-48.33896439999999
"Quadra ARSE 102 Alameda 7, Plano Diretor Sul",380000,246,1,1,4,-10.243224,-48.3222624
"Plano Diretor Sul, Palmas",1250000,211,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1395000,219,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",920000,178,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",2300000,652,5,1,4,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 20, Plano Diretor Sul",1100000,192,3,2,0,-10.1907291,-48.3211733
"Plano Diretor Sul, Palmas",1100000,220,4,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1795000,488,6,2,6,-10.2196474,-48.33896439999999
"ARSO 33 Rua 3, Plano Diretor Sul",900000,400,4,4,3,-10.3006128,-48.3200395
"Graciosa - Orla 14 , Palmas",2600000,600,6,9,7,-10.1956686,-48.3654932
"Plano Diretor Norte, Palmas",2000000,385,5,5,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",2500000,433,5,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",3200000,400,4,6,4,-10.2196474,-48.33896439999999
"ARSO 34 Rua 17, Plano Diretor Sul",2950000,328,4,5,4,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",740000,128,3,3,0,-10.2196474,-48.33896439999999
"Quadra ACNO 11 Rua NO 11, Plano Diretor Sul",1200000,393,5,5,4,-10.178186,-48.3377347
"ARSO 14 Avenida NS 9, Plano Diretor Sul",2600000,268,4,5,4,-10.214628,-48.3599536
"ARSO 61 Alameda 4, Plano Diretor Sul",950000,281,4,2,2,-10.2155869,-48.3460051
"Orla 14 Alameda 13, Graciosa - Orla 14",2490000,380,4,5,11,39.0524827,-28.0068979
"ARSO 32 Rua 4, Plano Diretor Sul",690000,199,1,1,0,-10.3000404,-48.3108592
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",3000000,380,5,1,2,-10.2259518,-48.365767
"Plano Diretor Sul, Palmas",1559000,70,2,2,0,-10.2196474,-48.33896439999999
"Loteamento Caribe, Loteamento Caribe",2990000,317,4,5,4,,
"ARSO 31 Alameda 20, Plano Diretor Sul",2300000,433,5,1,4,-10.1903213,-48.3215464
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1650000,210,3,2,2,-10.2259518,-48.365767
"ARSO 24 Avenida NS 9, Plano Diretor Sul",1600000,194,3,1,2,-10.214628,-48.3599536
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1600000,210,3,2,2,-10.2259518,-48.365767
"Plano Diretor Sul, Palmas",1985000,400,4,5,4,-10.2196474,-48.33896439999999
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",2100000,240,4,1,2,-10.2259518,-48.365767
